EOD Date,State,Start,End,Run time
20180213,sSTG_FEED_GREEKS_DYN,2018/02/13 20:57:37,2018/02/13 21:57:58,1:0:21
20180213,sSTG_FEED_MV_YEST,2018/02/13 20:57:37,2018/02/13 22:08:02,1:10:25
20180213,sSTG_FEED_PL_YEST-1,2018/02/13 20:57:37,2018/02/13 22:15:07,1:17:30
20180213,sSTG_FEED_GREEKS_COM,2018/02/13 20:57:37,2018/02/13 21:46:02,0:48:25
20180213,sSTG_FEED_DYN_GREEKS_COM,2018/02/13 20:57:37,2018/02/13 21:45:56,0:48:19
20180213,sSTG_FEED_PL_YEST,2018/02/13 20:57:37,2018/02/13 22:14:57,1:17:20
20180213,sSTG_FEED_GREEKS_EQD,2018/02/13 20:57:37,2018/02/13 21:12:53,0:15:16
20180213,sSTG_FEED_CS,2018/02/13 20:57:37,2018/02/13 22:14:41,1:17:4
20180213,sSTG_FEED_CS_YEST_DYN,2018/02/13 20:57:37,2018/02/13 22:13:20,1:15:43
20180213,sSTG_FEED_SQL_DEALCDS,2018/02/13 20:59:00,2018/02/13 20:59:28,0:0:28
20180213,sSTG_FEED_SQL_DEALCOM,2018/02/13 20:59:28,2018/02/13 21:00:55,0:1:27
20180213,sSTG_FEED_SQL_DEALCRD,2018/02/13 21:00:55,2018/02/13 21:01:34,0:0:39
20180213,sSTG_FEED_SQL_DEALCURR,2018/02/13 21:01:34,2018/02/13 21:02:42,0:1:8
20180213,sSTG_FEED_SQL_DEALEQD,2018/02/13 21:02:42,2018/02/13 21:03:41,0:0:59
20180213,sSTG_FEED_SQL_DEALHDR,2018/02/13 21:03:41,2018/02/13 21:05:28,0:1:47
20180213,sSTG_FEED_SQL_DEALIRD,2018/02/13 21:05:28,2018/02/13 21:07:01,0:1:33
20180213,sSTG_FEED_SQL_DEALLB,2018/02/13 21:07:01,2018/02/13 21:07:38,0:0:37
20180213,sSTG_FEED_SQL_DEALOPT,2018/02/13 21:07:38,2018/02/13 21:08:38,0:1:0
20180213,sSTG_FEED_SQL_DEALREPO,2018/02/13 21:08:38,2018/02/13 21:09:13,0:0:35
20180213,sSTG_FEED_SQL_EVENT_LB,2018/02/13 21:09:13,2018/02/13 21:09:39,0:0:26
20180213,sSTG_FEED_SQL_LOAN,2018/02/13 21:09:39,2018/02/13 21:10:20,0:0:41
20180213,sSTG_FEED_SQL_LOAN_LEG,2018/02/13 21:10:20,2018/02/13 21:11:04,0:0:44
20180213,sSTG_FEED_SQL_MKTOP,2018/02/13 21:11:04,2018/02/13 21:11:51,0:0:47
20180213,sSTG_FEED_SQL_SEC_UND,2018/02/13 21:11:51,2018/02/13 21:12:21,0:0:30
20180213,sSTG_FEED_XG,2018/02/13 21:12:21,2018/02/13 21:12:55,0:0:34
20180213,sSTG_FEED_DT_INDEX,2018/02/13 21:30:34,2018/02/13 21:30:52,0:0:18
20180213,sSTG_FEED_GREEKS_INDEX_COM,2018/02/13 21:45:56,2018/02/13 21:46:02,0:0:6
20180213,sSTG_FEED_GREEKS_INDEX,2018/02/13 21:57:58,2018/02/13 21:58:00,0:0:2
20180213,sSTG_FEED_MV_INDEX,2018/02/13 22:08:06,2018/02/13 22:08:55,0:0:49
20180213,sSTG_FEED_TRADE_INDEX,2018/02/13 22:08:56,2018/02/13 22:09:02,0:0:6
20180213,sSTG_FEED_CS_INDEX,2018/02/13 22:13:20,2018/02/13 22:14:41,0:1:21
20180213,sSTG_FEED_PL_INDEX,2018/02/13 22:15:07,2018/02/13 22:16:01,0:0:54
20180213,sSTG_FEED_PARSER_FUNCTION,2018/02/13 22:16:01,2018/02/13 22:29:17,0:13:16
20180213,sSTG_FEED_CVPRC,2018/02/13 22:16:01,2018/02/13 22:20:38,0:4:37
20180213,sSTG_FEED_CVSPT,2018/02/13 22:16:01,2018/02/13 22:17:01,0:1:0
20180213,sSTG_FEED_CVUNI,2018/02/13 22:16:01,2018/02/13 22:16:55,0:0:54
20180213,sSTG_FEED_DTSEC,2018/02/13 22:16:01,2018/02/13 22:29:17,0:13:16
20180213,sSTG_FEED_RTNBD,2018/02/13 22:16:01,2018/02/13 22:16:53,0:0:52
20180213,sSTG_VALIDATE_INTEGRITY,2018/02/13 22:29:17,2018/02/13 22:29:20,0:0:3
20180213,sODS_TRUNCATE,2018/02/13 22:29:20,2018/02/13 22:29:25,0:0:5
20180213,sODS_DROP_INDEX,2018/02/13 22:29:25,2018/02/13 22:29:26,0:0:1
20180213,sEMAIL_DESK_FO,2018/02/13 22:29:26,2018/02/13 22:29:26,0:0:0
20180213,sODS_FEED_ALL,2018/02/13 22:29:26,2018/02/13 23:02:11,0:32:45
20180213,sODS_FEED_MAIN,2018/02/13 22:29:26,2018/02/13 23:02:11,0:32:45
20180213,sODS_FEED_MARKET_DATA,2018/02/13 22:29:26,2018/02/13 22:32:47,0:3:21
