EOD Date,State,Start,End,Run time
20180213,sSTG_FEED_VAR_PART7,2018/02/14 00:09:36,2018/02/14 02:04:43,1:55:7
20180213,sSTG_FEED_VAR_PART8,2018/02/14 00:09:36,2018/02/14 02:26:38,2:17:2
20180213,sSTG_FEED_DT_02,2018/02/14 01:55:14,2018/02/14 01:57:08,0:1:54
20180213,sSTG_FEED_SV_CS1_INDEX_ALL,2018/02/14 01:55:25,2018/02/14 01:55:26,0:0:1
20180213,sSTG_FEED_DT_INDEX_ALL,2018/02/14 01:57:08,2018/02/14 01:57:47,0:0:39
20180213,sSTG_FEED_MISC_INDEX,2018/02/14 02:09:39,2018/02/14 02:09:49,0:0:10
20180213,sSTG_FEED_MV_INDEX_ALL,2018/02/14 02:12:33,2018/02/14 02:13:04,0:0:31
20180213,sSTG_FEED_IRD_RISK_SPEC_INDEX_ALL,2018/02/14 02:14:15,2018/02/14 02:14:16,0:0:1
20180213,sSTG_FEED_PL_INDEX_ALL,2018/02/14 02:14:17,2018/02/14 02:14:45,0:0:28
20180213,sSTG_FEED_MISC_INDEX_2B,2018/02/14 02:15:03,2018/02/14 02:15:04,0:0:1
20180213,sSTG_FEED_XG_INDEX_ALL,2018/02/14 02:17:40,2018/02/14 02:17:50,0:0:10
20180213,sSTG_FEED_MIFID,2018/02/14 02:17:50,2018/02/14 02:20:19,0:2:29
20180213,sSTG_FEED_FX_RISK_SPEC_INDEX_ALL,2018/02/14 02:19:18,2018/02/14 02:19:19,0:0:1
20180213,sSTG_FEED_UPD_MIFID,2018/02/14 02:20:19,2018/02/14 02:20:21,0:0:2
20180213,sSTG_FEED_CS_INDEX_ALL,2018/02/14 02:22:27,2018/02/14 02:25:23,0:2:56
20180213,sSTG_FEED_SV_INDEX_ALL,2018/02/14 02:37:33,2018/02/14 02:38:03,0:0:30
20180213,sSTG_FEED_PL_SV_INDEX_ALL,2018/02/14 02:42:46,2018/02/14 02:42:57,0:0:11
EOD Date,State,Start,End,Run time
20180214,sEOD_LIVE,2018/02/14 03:51:31,2018/03/21 23:28:45,0:0:0
20180214,sSTG_FEED_MAIN,2018/02/14 03:51:31,2018/02/14 03:51:31,0:0:0
20180214,sSTG_FEED_MISC_ALL,2018/02/14 03:51:31,2018/02/14 03:51:31,0:0:0
20180214,sSTG_FEED_MISC_MAIN,2018/02/14 03:51:31,2018/02/14 03:51:31,0:0:0
20180214,sSTG_FEED_COM_RISK_SPEC_ALL,2018/02/14 03:51:31,2018/02/14 03:51:31,0:0:0
20180214,sSTG_FEED_MISC_MAIN2,2018/02/14 03:51:31,2018/02/14 03:51:31,0:0:0
20180214,sSTG_FEED_CS_ALL,2018/02/14 03:51:31,2018/02/14 03:51:31,0:0:0
20180214,sSTG_FEED_CS_MAIN,2018/02/14 03:51:31,2018/02/14 03:51:31,0:0:0
20180214,sSTG_FEED_DT_ALL,2018/02/14 03:51:31,2018/02/14 03:51:31,0:0:0
20180214,sSTG_FEED_DT_MAIN,2018/02/14 03:51:31,2018/02/14 03:51:31,0:0:0
20180214,sSTG_FEED_FX_RISK_SPEC_ALL,2018/02/14 03:51:31,2018/02/14 03:51:31,0:0:0
20180214,sSTG_FEED_IRD_RISK_SPEC_ALL,2018/02/14 03:51:31,2018/02/14 03:51:31,0:0:0
20180214,sSTG_FEED_PL_ALL,2018/02/14 03:51:31,2018/02/14 03:51:31,0:0:0
20180214,sSTG_FEED_PL_MAIN,2018/02/14 03:51:31,2018/02/14 03:51:31,0:0:0
20180214,sSTG_FEED_PL_SV_ALL,2018/02/14 03:51:31,2018/02/14 03:51:31,0:0:0
20180214,sSTG_FEED_PL_SV_MAIN,2018/02/14 03:51:31,2018/02/14 03:51:31,0:0:0
20180214,sSTG_FEED_MV_ALL,2018/02/14 03:51:31,2018/02/14 03:51:31,0:0:0
20180214,sSTG_FEED_MV_MAIN,2018/02/14 03:51:31,2018/02/14 03:51:31,0:0:0
20180214,sSTG_FEED_SV_ALL,2018/02/14 03:51:31,2018/02/14 03:51:31,0:0:0
20180214,sSTG_FEED_SV_MAIN,2018/02/14 03:51:31,2018/02/14 03:51:31,0:0:0
20180214,sSTG_FEED_SV_CS1_ALL,2018/02/14 03:51:31,2018/02/14 03:51:31,0:0:0
20180214,sSTG_FEED_XG_ALL,2018/02/14 03:51:31,2018/02/14 03:51:31,0:0:0
20180214,sSTG_FEED_VAR,2018/02/14 03:51:31,2018/02/14 03:51:31,0:0:0
20180214,sSTG_FEED_VAR_STRESS_TEST,2018/02/14 03:51:31,2018/02/14 03:51:31,0:0:0
20180214,sLAUNCH_MASTER_LAUNCHER,2018/02/14 03:51:31,2018/02/14 03:51:32,0:0:1
20180214,sSTG_FEED_PARSER_FUNCTION,2018/02/14 03:51:32,2018/02/14 04:10:31,0:18:59
20180214,sSTG_FEED_CVPRC,2018/02/14 03:51:32,2018/02/14 03:54:51,0:3:19
20180214,sSTG_FEED_CVSPT,2018/02/14 03:51:32,2018/02/14 03:52:54,0:1:22
